,Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Tgt,Ctch%
64,6,Andre Reed,BUF,30,WR,16,16,90,1303,14.5,8,83,9.1,5.6,81.4,3,1994,143.0,62.9%
65,25,Andre Reed,BUF,32,WR,16,16,66,1036,15.7,6,67,10.3,4.1,64.8,1,1996,101.0,65.3%
66,35,Andre Reed,BUF,33,WR,15,15,60,880,14.7,5,77,7.7,4.0,58.7,1,1997,114.0,52.6%
67,36,Andre Reed,BUF,34,WR,15,13,63,795,12.6,5,67,7.3,4.2,53.0,0,1998,109.0,57.8%
68,58,Andre Reed,BUF,35,WR,16,16,52,536,10.3,1,30,6.0,3.3,33.5,0,1999,90.0,57.8%
69,18,Gary Clark,WAS,30,WR,16,14,64,912,14.3,5,47,7.0,4.0,57.0,1,1992,131.0,48.9%
70,28,Gary Clark,PHO,31,WR,14,10,63,818,13.0,4,55,7.4,4.5,58.4,1,1993,111.0,56.8%
71,52,Gary Clark,ARI,32,,15,2,50,771,15.4,1,45,7.5,3.3,51.4,0,1994,103.0,48.5%
72,106,Gary Clark,MIA,33,,16,0,37,525,14.2,2,42,8.2,2.3,32.8,0,1995,64.0,57.8%
73,19,Lawrence Dawsey,TAM,25,WR,15,12,60,776,12.9,1,41,8.3,4.0,51.7,1,1992,94.0,63.8%
74,67,Lawrence Dawsey,TAM,27,wr,10,5,46,673,14.6,1,46,8.9,4.6,67.3,0,1994,76.0,60.5%
75,20,Drew Hill,ATL,36,WR,16,14,60,623,10.4,3,43,6.4,3.8,38.9,1,1992,98.0,61.2%
76,21,Ricky Proehl,PHO,24,WR,16,15,60,744,12.4,3,63,7.0,3.8,46.5,5,1992,107.0,56.1%
77,24,Ricky Proehl,PHO,25,WR,16,16,65,877,13.5,7,51,8.1,4.1,54.8,1,1993,108.0,60.2%
78,50,Ricky Proehl,ARI,26,WR,16,16,51,651,12.8,5,63,6.2,3.2,40.7,2,1994,105.0,48.6%
79,39,Ricky Proehl,CHI,29,WR,15,10,58,753,13.0,7,78,7.2,3.9,50.2,2,1997,105.0,55.2%
80,39,Ricky Proehl,STL,30,WR,16,11,60,771,12.9,3,47,6.8,3.8,48.2,0,1998,114.0,52.6%
81,84,Ricky Proehl,STL,33,,16,2,40,563,14.1,5,37,10.2,2.5,35.2,0,2001,55.0,72.7%
82,23,Randal Hill,PHO,23,WR,16,14,58,861,14.8,3,49,7.4,3.6,53.8,2,1992,117.0,49.6%
83,96,Randal Hill,PHO,24,wr,16,8,35,519,14.8,4,58,7.4,2.2,32.4,0,1993,70.0,50.0%
84,95,Randal Hill,ARI,25,WR,14,14,38,544,14.3,0,51,6.6,2.7,38.9,0,1994,82.0,46.3%
85,43,Randal Hill,NOR,28,WR,15,15,55,761,13.8,2,89,8.0,3.7,50.7,0,1997,95.0,57.9%
86,25,Chris Burkett,NYJ,30,wr,16,5,57,724,12.7,1,37,7.6,3.6,45.3,1,1992,95.0,60.0%
87,78,Chris Burkett,NYJ,31,WR,16,16,40,531,13.3,4,77,6.8,2.5,33.2,1,1993,78.0,51.3%
88,28,Mark Carrier,TAM,27,WR,14,12,56,692,12.4,4,40,6.8,4.0,49.4,1,1992,102.0,54.9%
89,66,Mark Carrier,CLE,28,WR,16,16,43,746,17.3,3,55,8.8,2.7,46.6,0,1993,85.0,50.6%
90,26,Mark Carrier,CAR,30,WR,16,14,66,1002,15.2,3,66,7.1,4.1,62.6,0,1995,141.0,46.8%
91,37,Mark Carrier,CAR,31,WR,16,15,58,808,13.9,6,39,7.8,3.6,50.5,0,1996,104.0,55.8%
92,29,Irving Fryar,NWE,30,WR,15,14,55,791,14.4,4,54,7.5,3.7,52.7,0,1992,106.0,51.9%
93,25,Irving Fryar,MIA,31,WR,16,16,64,1010,15.8,5,65,8.6,4.0,63.1,0,1993,118.0,54.2%
94,22,Irving Fryar,MIA,32,WR,16,16,73,1270,17.4,7,54,10.1,4.6,79.4,0,1994,126.0,57.9%
95,34,Irving Fryar,MIA,33,WR,16,16,62,910,14.7,8,67,8.3,3.9,56.9,0,1995,109.0,56.9%
96,9,Irving Fryar,PHI,34,WR,16,16,88,1195,13.6,11,42,7.9,5.5,74.7,0,1996,152.0,57.9%
97,5,Irving Fryar,PHI,35,WR,16,16,86,1316,15.3,6,72,8.6,5.4,82.3,1,1997,153.0,56.2%
98,56,Irving Fryar,PHI,36,WR,16,16,48,556,11.6,2,61,5.0,3.0,34.8,0,1998,112.0,42.9%
99,82,Irving Fryar,WAS,38,wr,14,6,41,548,13.4,5,34,7.2,2.9,39.1,0,2000,76.0,53.9%
100,30,Jackie Harris,GNB,24,TE,16,11,55,595,10.8,2,40,7.3,3.4,37.2,1,1992,82.0,67.1%
101,70,Jackie Harris,GNB,25,TE,12,12,42,604,14.4,4,66,8.3,3.5,50.3,0,1993,73.0,57.5%
102,35,Jackie Harris,TAM,27,TE,16,16,62,751,12.1,1,33,7.6,3.9,46.9,2,1995,99.0,62.6%
103,31,Wendell Davis,CHI,26,WR,16,15,54,734,13.6,2,40,6.7,3.4,45.9,0,1992,110.0,49.1%
104,33,Cris Carter,MIN,27,WR,12,12,53,681,12.8,6,44,7.4,4.4,56.8,1,1992,92.0,57.6%
105,4,Cris Carter,MIN,28,WR,16,16,86,1071,12.5,9,58,7.5,5.4,66.9,0,1993,143.0,60.1%
106,1,Cris Carter,MIN,29,WR,16,16,122,1256,10.3,7,65,6.7,7.6,78.5,4,1994,188.0,64.9%
107,2,Cris Carter,MIN,30,WR,16,16,122,1371,11.2,17,60,7.0,7.6,85.7,0,1995,197.0,61.9%
108,5,Cris Carter,MIN,31,WR,16,16,96,1163,12.1,10,43,7.0,6.0,72.7,1,1996,167.0,57.5%
109,4,Cris Carter,MIN,32,WR,16,16,89,1069,12.0,13,43,6.8,5.6,66.8,3,1997,158.0,56.3%
110,11,Cris Carter,MIN,33,WR,16,16,78,1011,13.0,12,54,8.1,4.9,63.2,0,1998,125.0,62.4%
111,5,Cris Carter,MIN,34,WR,16,16,90,1241,13.8,13,68,9.1,5.6,77.6,0,1999,137.0,65.7%
112,6,Cris Carter,MIN,35,WR,16,16,96,1274,13.3,9,53,7.9,6.0,79.6,3,2000,161.0,59.6%
113,22,Cris Carter,MIN,36,WR,16,16,73,871,11.9,6,52,6.7,4.6,54.4,2,2001,130.0,56.2%
114,34,Shannon Sharpe,DEN,24,TE,16,11,53,640,12.1,2,55,8.3,3.3,40.0,1,1992,77.0,68.8%
115,8,Shannon Sharpe,DEN,25,TE,16,12,81,995,12.3,9,63,9.0,5.1,62.2,1,1993,110.0,73.6%
116,8,Shannon Sharpe,DEN,26,TE,15,13,87,1010,11.6,4,44,7.2,5.8,67.3,1,1994,140.0,62.1%
117,31,Shannon Sharpe,DEN,27,TE,13,12,63,756,12.0,4,49,8.0,4.8,58.2,1,1995,94.0,67.0%
118,16,Shannon Sharpe,DEN,28,TE,15,15,80,1062,13.3,10,51,9.1,5.3,70.8,1,1996,117.0,68.4%
119,17,Shannon Sharpe,DEN,29,TE,16,16,72,1107,15.4,3,68,9.7,4.5,69.2,1,1997,114.0,63.2%
120,35,Shannon Sharpe,DEN,30,TE,16,16,64,768,12.0,10,38,7.2,4.0,48.0,0,1998,107.0,59.8%
121,35,Shannon Sharpe,BAL,32,TE,16,15,67,810,12.1,5,59,7.7,4.2,50.6,0,2000,105.0,63.8%
122,25,Shannon Sharpe,BAL,33,TE,16,15,73,811,11.1,2,37,7.1,4.6,50.7,1,2001,114.0,64.0%
123,43,Shannon Sharpe,DEN,34,TE,13,13,61,686,11.2,3,82,7.8,4.7,52.8,0,2002,88.0,69.3%
124,36,Shannon Sharpe,DEN,35,TE,15,15,62,770,12.4,8,28,8.2,4.1,51.3,0,2003,94.0,66.0%
125,37,Jessie Hester,IND,29,WR,16,16,52,792,15.2,1,81,6.5,3.3,49.5,0,1992,122.0,42.6%
126,26,Jessie Hester,IND,30,WR,16,16,64,835,13.0,1,58,6.4,4.0,52.2,1,1993,130.0,49.2%
127,72,Jessie Hester,RAM,31,WR,16,15,45,644,14.3,3,41,8.0,2.8,40.3,1,1994,81.0,55.6%
128,38,James Lofton,BUF,36,WR,16,15,51,786,15.4,6,50,7.1,3.2,49.1,0,1992,110.0,46.4%
129,39,Herman Moore,DET,23,WR,12,11,51,966,18.9,4,77,10.9,4.3,80.5,0,1992,89.0,57.3%
130,34,Herman Moore,DET,24,WR,15,15,61,935,15.3,6,93,8.3,4.1,62.3,2,1993,112.0,54.5%
131,23,Herman Moore,DET,25,WR,16,16,72,1173,16.3,11,51,8.9,4.5,73.3,1,1994,132.0,54.5%
132,1,Herman Moore,DET,26,WR,16,16,123,1686,13.7,14,69,8.2,7.7,105.4,2,1995,206.0,59.7%
133,2,Herman Moore,DET,27,WR,16,16,106,1296,12.2,9,50,7.3,6.6,81.0,0,1996,178.0,59.6%
134,2,Herman Moore,DET,28,WR,16,16,104,1293,12.4,8,79,7.6,6.5,80.8,0,1997,170.0,61.2%
135,7,Herman Moore,DET,29,WR,15,15,82,983,12.0,5,36,7.6,5.5,65.5,0,1998,129.0,63.6%
136,40,Ricky Sanders,WAS,32,wr,15,5,51,707,13.9,3,62,7.8,3.4,47.1,0,1992,91.0,56.0%
137,40,Ricky Sanders,WAS,33,WR,16,11,58,638,11.0,4,50,6.2,3.6,39.9,1,1993,103.0,56.3%
138,29,Ricky Sanders,ATL,34,WR,14,12,67,599,8.9,1,28,5.8,4.8,42.8,0,1994,103.0,65.0%
139,42,Rob Moore,NYJ,24,WR,16,15,50,726,14.5,4,48,6.3,3.1,45.4,0,1992,115.0,43.5%
140,27,Rob Moore,NYJ,25,WR,13,13,64,843,13.2,1,51,8.3,4.9,64.8,2,1993,101.0,63.4%
141,16,Rob Moore,NYJ,26,WR,16,16,78,1010,12.9,6,41,6.4,4.9,63.1,0,1994,159.0,49.1%
142,30,Rob Moore,ARI,27,WR,15,15,63,907,14.4,5,45,7.8,4.2,60.5,0,1995,116.0,54.3%
143,38,Rob Moore,ARI,28,WR,16,16,58,1016,17.5,4,69,7.0,3.6,63.5,0,1996,146.0,39.7%
144,3,Rob Moore,ARI,29,WR,16,16,97,1584,16.3,8,47,7.6,6.1,99.0,0,1997,208.0,46.6%
145,22,Rob Moore,ARI,30,WR,16,16,67,982,14.7,5,57,6.7,4.2,61.4,0,1998,146.0,45.9%
146,91,Rob Moore,ARI,31,WR,14,10,37,621,16.8,5,71,6.5,2.6,44.4,0,1999,96.0,38.5%
147,44,Tim Brown,RAI,26,WR,15,12,49,693,14.1,7,68,7.3,3.3,46.2,6,1992,95.0,51.6%
148,10,Tim Brown,RAI,27,WR,16,16,80,1180,14.8,7,71,9.3,5.0,73.8,1,1993,127.0,63.0%
149,7,Tim Brown,RAI,28,WR,16,16,89,1309,14.7,9,77,9.2,5.6,81.8,3,1994,142.0,62.7%
150,12,Tim Brown,OAK,29,WR,16,16,89,1342,15.1,10,80,9.1,5.6,83.9,0,1995,148.0,60.1%
151,7,Tim Brown,OAK,30,WR,16,16,90,1104,12.3,9,42,7.6,5.6,69.0,3,1996,146.0,61.6%
152,1,Tim Brown,OAK,31,WR,16,16,104,1408,13.5,5,59,8.7,6.5,88.0,1,1997,162.0,64.2%
153,10,Tim Brown,OAK,32,WR,16,16,81,1012,12.5,9,49,6.6,5.1,63.3,3,1998,153.0,52.9%
154,4,Tim Brown,OAK,33,WR,16,16,90,1344,14.9,6,47,9.3,5.6,84.0,0,1999,145.0,62.1%
155,22,Tim Brown,OAK,34,WR,16,16,76,1128,14.8,11,45,8.5,4.8,70.5,0,2000,133.0,57.1%
156,11,Tim Brown,OAK,35,WR,16,16,91,1165,12.8,9,46,8.3,5.7,72.8,1,2001,140.0,65.0%
157,16,Tim Brown,OAK,36,WR,16,16,81,930,11.5,2,45,7.3,5.1,58.1,3,2002,127.0,63.8%
158,51,Tim Brown,OAK,37,WR,16,15,52,567,10.9,2,36,6.0,3.3,35.4,0,2003,94.0,55.3%
159,45,Jeff Graham,PIT,23,WR,14,10,49,711,14.5,1,51,7.6,3.5,50.8,0,1992,94.0,52.1%
160,84,Jeff Graham,PIT,24,WR,15,12,38,579,15.2,0,51,6.7,2.5,38.6,0,1993,87.0,43.7%
161,25,Jeff Graham,CHI,25,WR,16,15,68,944,13.9,4,76,9.4,4.3,59.0,1,1994,100.0,68.0%
162,16,Jeff Graham,CHI,26,WR,16,16,82,1301,15.9,4,51,9.4,5.1,81.3,3,1995,138.0,59.4%
163,58,Jeff Graham,NYJ,27,wr,11,9,50,788,15.8,6,78,9.3,4.5,71.6,0,1996,85.0,58.8%
164,68,Jeff Graham,NYJ,28,WR,16,16,42,542,12.9,2,47,6.0,2.6,33.9,0,1997,91.0,46.2%
165,59,Jeff Graham,PHI,29,WR,15,15,47,600,12.8,2,45,6.6,3.1,40.0,0,1998,91.0,51.6%
166,50,Jeff Graham,SDG,30,WR,16,11,57,968,17.0,2,54,8.5,3.6,60.5,0,1999,114.0,50.0%
167,51,Jeff Graham,SDG,31,WR,14,13,55,907,16.5,4,83,8.1,3.9,64.8,1,2000,112.0,49.1%
168,60,Jeff Graham,SDG,32,WR,14,11,52,811,15.6,5,61,7.4,3.7,57.9,1,2001,110.0,47.3%
169,47,Ed McCaffrey,NYG,24,,16,3,49,610,12.4,5,44,8.2,3.1,38.1,2,1992,74.0,66.2%
170,64,Ed McCaffrey,DEN,28,WR,15,15,48,553,11.5,7,39,7.3,3.2,36.9,0,1996,76.0,63.2%
171,63,Ed McCaffrey,DEN,29,WR,15,15,45,590,13.1,8,35,6.9,3.0,39.3,0,1997,85.0,52.9%
172,33,Ed McCaffrey,DEN,30,WR,15,15,64,1053,16.5,10,48,10.6,4.3,70.2,1,1998,99.0,64.6%
173,25,Ed McCaffrey,DEN,31,WR,15,15,71,1018,14.3,7,78,8.2,4.7,67.9,0,1999,124.0,57.3%
174,3,Ed McCaffrey,DEN,32,WR,16,16,101,1317,13.0,9,61,8.8,6.3,82.3,0,2000,149.0,67.8%
175,32,Ed McCaffrey,DEN,34,WR,16,16,69,903,13.1,2,69,8.8,4.3,56.4,1,2002,103.0,67.0%
176,49,Michael Haynes,ATL,27,WR,14,14,48,808,16.8,10,89,9.7,3.4,57.7,0,1992,83.0,57.8%
177,16,Michael Haynes,ATL,28,WR,16,16,72,778,10.8,4,98,5.8,4.5,48.6,1,1993,135.0,53.3%
178,18,Michael Haynes,NOR,29,WR,16,16,77,985,12.8,5,78,7.2,4.8,61.6,1,1994,136.0,56.6%
179,88,Michael Haynes,NOR,30,WR,16,15,41,597,14.6,4,48,6.3,2.6,37.3,0,1995,95.0,43.2%
180,73,Michael Haynes,NOR,31,WR,16,10,44,786,17.9,4,51,9.0,2.8,49.1,1,1996,87.0,50.6%
181,51,Keith Jackson,MIA,27,TE,13,11,48,594,12.4,5,42,8.6,3.7,45.7,2,1992,69.0,69.6%
182,80,Keith Jackson,MIA,28,TE,15,15,39,613,15.7,6,57,8.4,2.6,40.9,2,1993,73.0,53.4%
183,33,Keith Jackson,MIA,29,TE,16,16,59,673,11.4,7,35,7.1,3.7,42.1,2,1994,95.0,62.1%
184,84,Keith Jackson,GNB,31,te,16,5,40,505,12.6,10,51,8.0,2.5,31.6,0,1996,63.0,63.5%
185,52,Mark Jackson,DEN,29,WR,16,13,48,745,15.5,8,51,6.4,3.0,46.6,0,1992,117.0,41.0%
186,39,Mark Jackson,NYG,30,WR,16,14,58,708,12.2,4,40,7.4,3.6,44.3,1,1993,96.0,60.4%
187,54,Henry Ellard,RAM,31,WR,16,15,47,727,15.5,3,33,8.3,2.9,45.4,0,1992,88.0,53.4%
188,33,Henry Ellard,RAM,32,WR,16,16,61,945,15.5,2,54,8.1,3.8,59.1,0,1993,117.0,52.1%
189,20,Henry Ellard,WAS,33,WR,16,16,74,1397,18.9,6,73,9.3,4.6,87.3,1,1994,150.0,49.3%
190,48,Henry Ellard,WAS,34,WR,15,15,56,1005,17.9,5,59,8.9,3.7,67.0,1,1995,113.0,49.6%
191,53,Henry Ellard,WAS,35,WR,16,16,52,1014,19.5,2,51,10.3,3.3,63.4,0,1996,98.0,53.1%
192,55,Michael Jackson,CLE,23,WR,16,14,47,755,16.1,7,69,9.2,2.9,47.2,0,1992,82.0,57.3%
193,74,Michael Jackson,CLE,24,WR,15,11,41,756,18.4,8,62,8.2,2.7,50.4,1,1993,92.0,44.6%
194,77,Michael Jackson,CLE,26,WR,13,10,44,714,16.2,9,70,8.8,3.4,54.9,1,1995,81.0,54.3%
195,17,Michael Jackson,BAL,27,WR,16,16,76,1201,15.8,14,86,8.0,4.8,75.1,0,1996,150.0,50.7%
196,20,Michael Jackson,BAL,28,WR,16,15,69,918,13.3,4,54,6.7,4.3,57.4,2,1997,137.0,50.4%
197,58,Art Monk,WAS,35,WR,16,14,46,644,14.0,3,49,7.2,2.9,40.3,1,1992,89.0,51.7%
198,70,Art Monk,NYJ,37,WR,16,15,46,581,12.6,3,69,8.9,2.9,36.3,0,1994,65.0,70.8%
199,59,Tom Waddle,CHI,25,WR,12,12,46,674,14.7,4,68,8.4,3.8,56.2,1,1992,80.0,57.5%
200,64,Tom Waddle,CHI,26,WR,15,15,44,552,12.5,1,38,7.7,2.9,36.8,0,1993,72.0,61.1%
201,60,Brent Jones,SFO,29,TE,15,15,45,628,14.0,4,43,9.8,3.0,41.9,1,1992,64.0,70.3%
202,18,Brent Jones,SFO,30,TE,16,16,68,735,10.8,3,29,7.8,4.3,45.9,2,1993,94.0,72.3%
203,58,Brent Jones,SFO,31,TE,15,15,49,670,13.7,9,69,9.3,3.3,44.7,1,1994,72.0,68.1%
204,43,Brent Jones,SFO,32,TE,16,16,60,595,9.9,3,39,5.9,3.8,37.2,3,1995,101.0,59.4%
205,63,Mark Duper,MIA,33,WR,16,16,44,762,17.3,7,62,7.9,2.8,47.6,2,1992,96.0,45.8%
206,66,Kerry Cash,IND,23,TE,16,16,43,521,12.1,3,41,6.9,2.7,32.6,0,1992,75.0,57.3%
207,67,Mark Clayton,MIA,31,WR,13,13,43,619,14.4,3,44,7.0,3.3,47.6,1,1992,89.0,48.3%
208,31,Mark Clayton,BAL,24,WR,16,12,67,939,14.0,5,87,8.3,4.2,58.7,0,2006,113.0,59.3%
209,71,Mark Clayton,BAL,25,WR,16,12,48,531,11.1,0,52,6.0,3.0,33.2,0,2007,89.0,53.9%
210,89,Mark Clayton,BAL,26,WR,16,13,41,695,17.0,3,70,8.5,2.6,43.4,0,2008,82.0,50.0%
211,70,J.J. Birden,KAN,27,WR,16,11,42,644,15.3,3,72,8.3,2.6,40.3,3,1992,78.0,53.8%
212,52,J.J. Birden,KAN,28,WR,16,16,51,721,14.1,2,50,8.3,3.2,45.1,1,1993,87.0,58.6%
213,62,J.J. Birden,KAN,29,WR,13,13,48,637,13.3,4,44,7.0,3.7,49.0,1,1994,91.0,52.7%
214,71,Calvin Williams,PHI,25,WR,16,15,42,598,14.2,7,49,8.2,2.6,37.4,0,1992,73.0,57.5%
215,37,Calvin Williams,PHI,26,WR,16,14,60,725,12.1,10,80,7.0,3.8,45.3,0,1993,104.0,57.7%
216,40,Calvin Williams,PHI,27,WR,16,14,58,813,14.0,3,53,7.3,3.6,50.8,0,1994,111.0,52.3%
