,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,Year
149,25,Wendell Tyler,SFO,28,RB,14,14,176,856,4,39,4.9,61.1,7,1983
150,13,Wendell Tyler,SFO,29,RB,16,15,246,1262,7,40,5.1,78.9,13,1984
151,26,Wendell Tyler,SFO,30,RB,13,12,171,867,6,30,5.1,66.7,6,1985
152,17,Clarence Williams,SDG,24,FB,16,16,200,752,12,55,3.8,47.0,1,1979
153,18,Billy Taylor,NYG,23,FB,16,9,198,700,7,31,3.5,43.8,4,1979
154,33,Billy Taylor,NYG,24,RB,11,10,147,580,4,35,3.9,52.7,4,1980
155,19,Jerry Eckwood,TAM,25,RB,16,10,194,690,2,61,3.6,43.1,9,1979
156,32,Jerry Eckwood,TAM,26,RB,15,8,149,504,2,35,3.4,33.6,7,1980
157,25,Jerry Eckwood,TAM,27,RB,16,12,172,651,2,59,3.8,40.7,3,1981
158,22,Rickey Young,MIN,26,RB,16,16,188,708,3,26,3.8,44.3,2,1979
159,24,Clark Gaines,NYJ,25,FB,16,9,186,905,0,52,4.9,56.6,1,1979
160,32,Dan Doornink,SEA,23,FB,16,12,152,500,8,26,3.3,31.3,6,1979
161,35,Archie Griffin,CIN,25,RB,16,15,140,688,0,63,4.9,43.0,3,1979
162,39,Ted Brown,MIN,22,FB,14,9,130,551,1,34,4.2,39.4,6,1979
163,11,Ted Brown,MIN,23,FB,16,16,219,912,8,55,4.2,57.0,6,1980
164,9,Ted Brown,MIN,24,FB,16,16,274,1063,6,34,3.9,66.4,3,1981
165,20,Ted Brown,MIN,25,FB,8,8,120,515,1,30,4.3,64.4,0,1982
166,42,Paul Hofer,SFO,27,rb,15,7,123,615,7,47,5.0,41.0,3,1979
167,44,Sidney Thornton,PIT,25,RB,13,10,118,585,6,75,5.0,45.0,7,1979
168,3,Billy Sims,DET,25,RB,16,16,313,1303,13,52,4.2,81.4,12,1980
169,6,Billy Sims,DET,26,RB,14,14,296,1437,13,51,4.9,102.6,9,1981
170,4,Billy Sims,DET,27,RB,9,8,172,639,4,29,3.7,71.0,7,1982
171,18,Billy Sims,DET,28,RB,13,12,220,1040,7,41,4.7,80.0,6,1983
172,36,Billy Sims,DET,29,RB,8,8,130,687,5,81,5.3,85.9,6,1984
173,4,Joe Cribbs,BUF,22,RB,16,16,306,1185,11,48,3.9,74.1,16,1980
174,12,Joe Cribbs,BUF,23,RB,15,15,257,1097,3,35,4.3,73.1,12,1981
175,17,Joe Cribbs,BUF,24,RB,7,6,134,633,3,62,4.7,90.4,5,1982
176,12,Joe Cribbs,BUF,25,RB,16,16,263,1131,3,45,4.3,70.7,6,1983
177,29,Joe Cribbs,SFO,28,RB,14,10,152,590,5,19,3.9,42.1,5,1986
178,9,Lynn Cain,ATL,25,RB,16,16,235,914,8,37,3.9,57.1,6,1980
179,30,Lynn Cain,ATL,26,RB,16,16,156,542,4,35,3.5,33.9,3,1981
180,12,Vagas Ferguson,NWE,23,RB,16,16,211,818,2,44,3.9,51.1,3,1980
181,15,Eddie Lee Ivery,GNB,23,RB,16,16,202,831,3,38,4.1,51.9,3,1980
182,46,Eddie Lee Ivery,GNB,27,rb,10,5,99,552,6,49,5.6,55.2,1,1984
183,37,Eddie Lee Ivery,GNB,28,RB,15,10,132,636,2,34,4.8,42.4,1,1985
184,16,Don Calhoun,NWE,28,FB,16,16,200,787,9,22,3.9,49.2,2,1980
185,21,Curtis Dickey,BAL,24,rb,15,5,176,800,11,51,4.5,53.3,3,1980
186,28,Curtis Dickey,BAL,25,RB,15,15,164,779,7,67,4.8,51.9,8,1981
187,14,Curtis Dickey,BAL,27,RB,16,16,254,1122,4,56,4.4,70.1,9,1983
188,35,Curtis Dickey,IND,28,RB,10,9,131,523,3,30,4.0,52.3,6,1984
189,34,Curtis Dickey,CLE,30,RB,14,10,135,523,6,47,3.9,37.4,4,1986
190,22,Wilbur Jackson,WAS,29,RB,16,14,176,708,3,55,4.0,44.3,10,1980
191,25,Kenny King,OAK,23,RB,15,13,172,761,4,89,4.4,50.7,6,1980
192,27,Kenny King,OAK,24,RB,14,14,170,828,0,60,4.9,59.1,10,1981
193,26,Earl Cooper,SFO,23,FB,16,16,171,720,5,47,4.2,45.0,8,1980
194,27,Charles Alexander,CIN,23,RB,16,16,169,702,2,37,4.2,43.9,2,1980
195,30,Charles Alexander,CIN,26,RB,14,14,153,523,3,12,3.4,37.4,1,1983
196,28,Elvis Peacock,RAM,24,RB,13,9,164,777,7,36,4.7,59.8,1,1980
197,30,Jim Jodat,SEA,26,FB,16,13,155,632,5,26,4.1,39.5,3,1980
198,38,Gerry Ellis,GNB,23,FB,15,13,126,545,5,22,4.3,36.3,7,1980
199,21,Gerry Ellis,GNB,24,FB,16,16,196,860,4,29,4.4,53.8,5,1981
200,36,Gerry Ellis,GNB,26,FB,15,14,141,696,4,71,4.9,46.4,7,1983
201,39,Gerry Ellis,GNB,27,RB,16,16,123,581,4,50,4.7,36.3,2,1984
202,48,Gerry Ellis,GNB,28,rb,16,8,104,571,5,39,5.5,35.7,2,1985
203,1,George Rogers,NOR,23,RB,16,16,378,1674,13,79,4.4,104.6,13,1981
204,19,George Rogers,NOR,24,RB,6,5,122,535,3,38,4.4,89.2,4,1982
205,13,George Rogers,NOR,25,RB,13,12,256,1144,5,76,4.5,88.0,8,1983
206,14,George Rogers,NOR,26,RB,16,16,239,914,2,28,3.8,57.1,2,1984
207,15,George Rogers,WAS,27,rb,15,5,231,1093,7,35,4.7,72.9,9,1985
208,6,George Rogers,WAS,28,RB,15,15,303,1203,18,42,4.0,80.2,7,1986
209,15,George Rogers,WAS,29,RB,11,9,163,613,6,29,3.8,55.7,2,1987
210,16,Joe Delaney,KAN,23,RB,15,10,234,1121,3,82,4.8,74.7,9,1981
211,18,Rob Carpenter,2TM,26,,14,13,208,822,5,35,4.0,58.7,3,1981
212,26,Rob Carpenter,NYG,28,FB,10,10,170,624,4,37,3.7,62.4,2,1983
213,12,Rob Carpenter,NYG,29,FB,16,16,250,795,7,22,3.2,49.7,2,1984
214,19,Tony Collins,NWE,22,RB,16,11,204,873,7,29,4.3,54.6,8,1981
215,5,Tony Collins,NWE,23,RB,9,9,164,632,1,54,3.9,70.2,5,1982
216,19,Tony Collins,NWE,24,RB,16,16,219,1049,10,50,4.8,65.6,10,1983
217,30,Tony Collins,NWE,25,rb,16,5,138,550,5,21,4.0,34.4,3,1984
218,30,Tony Collins,NWE,26,RB,16,16,163,657,3,28,4.0,41.1,6,1985
219,20,Andra Franklin,MIA,22,FB,16,11,201,711,7,29,3.5,44.4,5,1981
220,2,Andra Franklin,MIA,23,FB,9,9,177,701,7,25,4.0,77.9,3,1982
221,17,Andra Franklin,MIA,24,FB,15,12,224,746,8,18,3.3,49.7,6,1983
222,23,Dave Preston,DEN,26,RB,16,14,183,640,3,23,3.5,40.0,4,1981
223,24,Rick Parros,DEN,23,FB,16,16,176,749,2,25,4.3,46.8,6,1981
224,26,Ron Springs,DAL,25,FB,16,13,172,625,10,16,3.6,39.1,3,1981
225,33,Ron Springs,DAL,27,FB,16,14,149,541,7,19,3.6,33.8,3,1983
226,29,Theotis Brown,2TM,24,,14,10,156,583,8,43,3.7,41.6,8,1981
227,31,Ricky Patton,SFO,27,RB,16,15,152,543,4,28,3.6,33.9,3,1981
228,32,Matt Suhey,CHI,23,FB,15,14,150,521,3,26,3.5,34.7,3,1981
229,34,Matt Suhey,CHI,25,FB,16,13,149,681,4,39,4.6,42.6,5,1983
230,33,Randy McMillan,BAL,23,FB,16,16,149,597,3,42,4.0,37.3,1,1981
231,22,Randy McMillan,BAL,25,FB,16,16,198,802,5,39,4.1,50.1,5,1983
232,22,Randy McMillan,IND,26,FB,16,16,163,705,5,31,4.3,44.1,1,1984
233,23,Randy McMillan,IND,27,FB,15,14,190,858,7,38,4.5,57.2,0,1985
234,19,Randy McMillan,IND,28,FB,16,16,189,609,3,28,3.2,38.1,5,1986
235,34,Tony Nathan,MIA,25,RB,13,11,147,782,5,46,5.3,60.2,2,1981
236,32,Tony Nathan,MIA,27,RB,16,12,151,685,3,40,4.5,42.8,2,1983
237,40,Tony Nathan,MIA,28,RB,16,12,118,558,1,22,4.7,34.9,3,1984
238,34,Tony Nathan,MIA,29,RB,16,15,143,667,5,22,4.7,41.7,7,1985
239,35,James Hadnot,KAN,24,FB,16,15,140,603,3,30,4.3,37.7,4,1981
240,37,Freeman McNeil,NYJ,22,RB,11,6,137,623,2,43,4.5,56.6,5,1981
241,9,Freeman McNeil,NYJ,23,RB,9,9,151,786,6,48,5.2,87.3,7,1982
242,28,Freeman McNeil,NYJ,24,RB,9,9,160,654,1,19,4.1,72.7,4,1983
243,15,Freeman McNeil,NYJ,25,RB,12,12,229,1070,5,53,4.7,89.2,4,1984
244,6,Freeman McNeil,NYJ,26,RB,14,13,294,1331,3,69,4.5,95.1,9,1985
245,12,Freeman McNeil,NYJ,27,RB,12,11,214,856,5,40,4.0,71.3,8,1986
246,29,Freeman McNeil,NYJ,28,RB,9,8,121,530,0,30,4.4,58.9,1,1987
247,13,Freeman McNeil,NYJ,29,RB,16,16,219,944,6,28,4.3,59.0,3,1988
248,38,Frank Pollard,PIT,24,RB,14,10,123,570,2,29,4.6,40.7,5,1981
249,39,Frank Pollard,PIT,26,,16,3,135,608,4,32,4.5,38.0,5,1983
250,16,Frank Pollard,PIT,27,FB,15,15,213,851,6,52,4.0,56.7,9,1984
251,14,Frank Pollard,PIT,28,FB,16,16,233,991,3,56,4.3,61.9,2,1985
252,25,Frank Pollard,PIT,30,fb,12,7,128,536,3,33,4.2,44.7,3,1987
253,42,James Brooks,SDG,23,,14,2,109,525,3,28,4.8,37.5,7,1981
254,41,James Brooks,SDG,25,rb,15,6,127,516,3,61,4.1,34.4,8,1983
255,22,James Brooks,CIN,27,RB,16,16,192,929,7,39,4.8,58.1,7,1985
256,14,James Brooks,CIN,28,RB,16,16,205,1087,5,56,5.3,67.9,2,1986
257,19,James Brooks,CIN,30,RB,15,15,182,931,8,51,5.1,62.1,1,1988
258,13,James Brooks,CIN,31,RB,16,14,221,1239,7,65,5.6,77.4,9,1989
259,17,James Brooks,CIN,32,RB,16,15,195,1004,5,56,5.1,62.8,3,1990
260,27,James Brooks,CIN,33,RB,15,12,152,571,2,25,3.8,38.1,5,1991
261,6,Marcus Allen,RAI,22,RB,9,9,160,697,11,53,4.4,77.4,5,1982
262,11,Marcus Allen,RAI,23,RB,16,15,266,1014,9,19,3.8,63.4,14,1983
263,10,Marcus Allen,RAI,24,RB,16,16,275,1168,13,52,4.2,73.0,8,1984
264,2,Marcus Allen,RAI,25,RB,16,16,380,1759,11,61,4.6,109.9,3,1985
265,13,Marcus Allen,RAI,26,RB,13,10,208,759,5,28,3.6,58.4,7,1986
266,11,Marcus Allen,RAI,27,RB,12,12,200,754,5,44,3.8,62.8,3,1987
267,12,Marcus Allen,RAI,28,RB,15,15,223,831,7,32,3.7,55.4,5,1988
268,20,Marcus Allen,RAI,30,RB,16,15,179,682,12,28,3.8,42.6,1,1990
269,15,Marcus Allen,KAN,33,RB,16,10,206,764,12,39,3.7,47.8,4,1993
270,23,Marcus Allen,KAN,34,RB,13,13,189,709,7,36,3.8,54.5,3,1994
271,22,Marcus Allen,KAN,35,RB,16,15,207,890,5,38,4.3,55.6,2,1995
272,18,Marcus Allen,KAN,36,RB,16,15,206,830,9,35,4.0,51.9,2,1996
273,39,Marcus Allen,KAN,37,,16,0,124,505,11,30,4.1,31.6,4,1997
274,1,Eric Dickerson,RAM,23,RB,16,16,390,1808,18,85,4.6,113.0,13,1983
275,3,Eric Dickerson,RAM,24,RB,16,16,379,2105,14,66,5.6,131.6,14,1984
276,8,Eric Dickerson,RAM,25,RB,14,14,292,1234,12,43,4.2,88.1,10,1985
277,1,Eric Dickerson,RAM,26,RB,16,16,404,1821,11,42,4.5,113.8,12,1986
278,2,Eric Dickerson,2TM,27,,12,10,283,1288,6,57,4.6,107.3,7,1987
279,1,Eric Dickerson,IND,28,RB,16,16,388,1659,14,41,4.3,103.7,5,1988
280,4,Eric Dickerson,IND,29,RB,15,14,314,1311,7,21,4.2,87.4,10,1989
281,23,Eric Dickerson,IND,30,RB,11,8,166,677,4,43,4.1,61.5,0,1990
282,21,Eric Dickerson,IND,31,RB,10,9,167,536,2,28,3.2,53.6,6,1991
283,17,Eric Dickerson,RAI,32,RB,16,15,187,729,2,40,3.9,45.6,1,1992
284,3,Curt Warner,SEA,22,RB,16,16,335,1449,13,60,4.3,90.6,6,1983
285,9,Curt Warner,SEA,24,RB,16,16,291,1094,8,38,3.8,68.4,8,1985
286,5,Curt Warner,SEA,25,RB,16,16,319,1481,13,60,4.6,92.6,6,1986
287,4,Curt Warner,SEA,26,RB,12,12,234,985,8,57,4.2,82.1,4,1987
288,7,Curt Warner,SEA,27,RB,16,16,266,1025,10,29,3.9,64.1,5,1988
289,18,Curt Warner,SEA,28,RB,16,15,194,631,3,34,3.3,39.4,7,1989
290,15,Butch Woolfolk,NYG,23,RB,16,16,246,857,4,22,3.5,53.6,8,1983
291,21,Wayne Wilson,NOR,26,fb,14,8,199,787,9,29,4.0,56.2,6,1983
292,28,Wayne Wilson,NOR,28,FB,16,10,168,645,1,41,3.8,40.3,2,1985
293,23,Sammy Winder,DEN,24,RB,14,13,196,757,3,52,3.9,54.1,7,1983
294,8,Sammy Winder,DEN,25,RB,16,15,296,1153,4,24,3.9,72.1,5,1984
295,21,Sammy Winder,DEN,26,RB,14,12,199,714,8,42,3.6,51.0,4,1985
296,9,Sammy Winder,DEN,27,RB,16,15,240,789,9,31,3.3,49.3,2,1986
297,12,Sammy Winder,DEN,28,RB,12,10,196,741,6,19,3.8,61.8,5,1987
298,28,Sammy Winder,DEN,29,FB,16,12,149,543,4,35,3.6,33.9,1,1988
299,24,Roger Craig,SFO,23,FB,16,13,176,725,8,71,4.1,45.3,6,1983
300,25,Roger Craig,SFO,24,FB,16,16,155,649,7,28,4.2,40.6,3,1984
301,19,Roger Craig,SFO,25,FB,16,16,214,1050,9,62,4.9,65.6,5,1985
302,15,Roger Craig,SFO,26,FB,16,15,204,830,7,25,4.1,51.9,4,1986
303,6,Roger Craig,SFO,27,RB,14,14,215,815,3,25,3.8,58.2,5,1987
304,3,Roger Craig,SFO,28,RB,16,15,310,1502,9,46,4.8,93.9,8,1988
305,10,Roger Craig,SFO,29,RB,16,16,271,1054,6,27,3.9,65.9,4,1989
306,23,Roger Craig,RAI,31,RB,15,13,162,590,1,15,3.6,39.3,2,1991
307,27,James Wilder,TAM,25,FB,10,10,161,640,4,75,4.0,64.0,1,1983
308,1,James Wilder,TAM,26,RB,16,16,407,1544,13,37,3.8,96.5,10,1984
309,3,James Wilder,TAM,27,RB,16,16,365,1300,10,28,3.6,81.3,9,1985
310,18,James Wilder,TAM,28,RB,12,12,190,704,2,45,3.7,58.7,10,1986
311,29,Darrin Nelson,MIN,24,RB,15,10,154,642,1,56,4.2,42.8,5,1983
312,20,Darrin Nelson,MIN,26,RB,16,10,200,893,5,37,4.5,55.8,7,1985
313,17,Darrin Nelson,MIN,27,RB,16,16,191,793,4,42,4.2,49.6,3,1986
314,22,Darrin Nelson,MIN,28,RB,10,9,131,642,2,72,4.9,64.2,2,1987
315,37,Dwayne Crutchfield,2TM,24,,13,8,140,578,3,17,4.1,44.5,2,1983
316,47,Frank Hawkins,RAI,24,,16,2,110,526,6,32,4.8,32.9,2,1983
317,48,Mosi Tatupu,NWE,28,,16,1,106,578,4,55,5.5,36.1,1,1983
318,33,Mosi Tatupu,NWE,29,,16,4,133,553,4,20,4.2,34.6,4,1984
319,4,Gerald Riggs,ATL,24,RB,15,14,353,1486,13,57,4.2,99.1,11,1984
320,1,Gerald Riggs,ATL,25,RB,16,16,397,1719,10,50,4.3,107.4,0,1985
321,2,Gerald Riggs,ATL,26,RB,16,15,343,1327,9,31,3.9,82.9,6,1986
322,9,Gerald Riggs,ATL,27,RB,12,12,203,875,2,44,4.3,72.9,4,1987
323,15,Gerald Riggs,WAS,29,rb,12,7,201,834,4,58,4.1,69.5,3,1989
324,7,Earnest Jackson,SDG,25,RB,16,14,296,1179,8,32,4.0,73.7,3,1984
325,10,Earnest Jackson,PHI,26,RB,16,11,282,1028,5,59,3.6,64.3,3,1985
326,10,Earnest Jackson,PIT,27,FB,13,13,216,910,5,31,4.2,70.0,3,1986
327,14,Earnest Jackson,PIT,28,FB,12,9,180,696,1,39,3.9,58.0,2,1987
328,11,Greg Bell,BUF,22,RB,16,15,262,1100,7,85,4.2,68.8,5,1984
329,17,Greg Bell,BUF,23,FB,16,15,223,883,8,77,4.0,55.2,8,1985
330,6,Greg Bell,RAM,26,RB,16,13,288,1212,16,44,4.2,75.8,6,1988
331,9,Greg Bell,RAM,27,RB,16,15,272,1137,15,47,4.2,71.1,7,1989
332,17,Boyce Green,CLE,24,RB,16,10,202,673,0,29,3.3,42.1,3,1984
333,18,Alfred Anderson,MIN,23,FB,16,14,201,773,2,23,3.8,48.3,8,1984
334,20,Larry Moriarty,HOU,26,RB,14,9,189,785,6,51,4.2,56.1,5,1984
335,21,Herman Heard,KAN,23,RB,16,9,165,684,4,69,4.1,42.8,5,1984
336,29,Herman Heard,KAN,24,RB,16,12,164,595,4,33,3.6,37.2,4,1985
337,24,Craig James,NWE,23,RB,15,7,160,790,1,73,4.9,52.7,4,1984
338,11,Craig James,NWE,24,FB,16,14,263,1227,5,65,4.7,76.7,8,1985
339,26,Larry Kinnebrew,CIN,25,fb,16,4,154,623,9,23,4.0,38.9,4,1984
340,27,Larry Kinnebrew,CIN,26,FB,12,11,170,714,9,29,4.2,59.5,4,1985
341,35,Larry Kinnebrew,CIN,27,FB,16,9,131,519,8,39,4.0,32.4,6,1986
342,19,Larry Kinnebrew,CIN,28,FB,11,8,145,570,8,52,3.9,51.8,1,1987
343,34,Larry Kinnebrew,BUF,30,FB,15,10,131,533,6,25,4.1,35.5,3,1989
344,28,Walter Abercrombie,PIT,25,rb,14,7,145,610,1,31,4.2,43.6,0,1984
345,16,Walter Abercrombie,PIT,26,RB,16,16,227,851,7,32,3.7,53.2,5,1985
346,11,Walter Abercrombie,PIT,27,RB,16,16,214,877,6,38,4.1,54.8,4,1986
347,29,Woody Bennett,MIA,29,FB,16,9,144,606,7,23,4.2,37.9,4,1984
348,31,James Jones,DET,23,FB,16,16,137,532,3,34,3.9,33.3,6,1984
349,13,James Jones,DET,24,FB,14,13,244,886,6,29,3.6,63.3,7,1985
350,8,James Jones,DET,25,FB,16,16,252,903,8,39,3.6,56.4,6,1986
351,32,Joe Morris,NYG,24,RB,16,8,133,510,4,28,3.8,31.9,1,1984
352,7,Joe Morris,NYG,25,RB,16,16,294,1336,21,65,4.5,83.5,6,1985
353,3,Joe Morris,NYG,26,RB,15,15,341,1516,14,54,4.4,101.1,6,1986
354,13,Joe Morris,NYG,27,RB,11,10,193,658,3,34,3.4,59.8,2,1987
355,4,Joe Morris,NYG,28,RB,16,15,307,1083,5,27,3.5,67.7,7,1988
356,37,Johnny Hector,NYJ,24,,13,2,124,531,1,64,4.3,40.8,2,1984
357,33,Johnny Hector,NYJ,25,rb,14,5,145,572,6,22,3.9,40.9,2,1985
358,25,Johnny Hector,NYJ,26,rb,13,5,164,605,8,41,3.7,46.5,2,1986
359,31,Johnny Hector,NYJ,28,,16,1,137,561,10,19,4.1,35.1,3,1988
360,22,Johnny Hector,NYJ,29,RB,15,9,177,702,3,24,4.0,46.8,1,1989
361,44,Hokie Gajan,NOR,25,FB,14,14,102,615,5,62,6.0,43.9,0,1984
362,12,Earnest Byner,CLE,23,RB,16,13,244,1002,8,36,4.1,62.6,5,1985
363,25,Earnest Byner,CLE,26,RB,16,16,157,576,3,27,3.7,36.0,5,1988
364,31,Earnest Byner,WAS,27,RB,16,13,134,580,7,24,4.3,36.3,2,1989
365,1,Earnest Byner,WAS,28,RB,16,16,297,1219,6,22,4.1,76.2,2,1990
366,4,Earnest Byner,WAS,29,RB,16,16,274,1048,5,32,3.8,65.5,3,1991
367,11,Earnest Byner,WAS,30,RB,16,16,262,998,6,23,3.8,62.4,1,1992
368,29,Earnest Byner,BAL,34,RB,16,8,159,634,4,42,4.0,39.6,1,1996
369,18,Kevin Mack,CLE,23,FB,16,15,222,1104,7,61,5.0,69.0,4,1985
370,23,Kevin Mack,CLE,24,FB,12,12,174,665,10,20,3.8,55.4,6,1986
371,10,Kevin Mack,CLE,25,FB,12,12,201,735,5,22,3.7,61.3,6,1987
372,26,Kevin Mack,CLE,28,FB,14,14,158,702,5,26,4.4,50.1,6,1990
373,13,Kevin Mack,CLE,29,FB,14,11,197,726,8,51,3.7,51.9,1,1991
374,20,Kevin Mack,CLE,30,fb,12,6,169,543,6,37,3.2,45.3,1,1992
375,24,Stump Mitchell,STL,26,rb,16,8,183,1006,7,64,5.5,62.9,6,1985
376,24,Stump Mitchell,STL,27,RB,15,13,174,800,5,44,4.6,53.3,4,1986
377,8,Stump Mitchell,STL,28,RB,12,12,203,781,3,42,3.8,65.1,3,1987
378,24,Stump Mitchell,PHO,29,RB,14,14,164,726,4,47,4.4,51.9,6,1988
379,32,Jessie Clark,GNB,25,FB,16,14,147,633,5,80,4.3,39.6,4,1985
380,35,George Wonsley,IND,25,RB,16,9,138,716,6,36,5.2,44.8,4,1985
381,47,Lionel James,SDG,23,RB,16,7,105,516,2,56,4.9,32.3,9,1985
382,7,Rueben Mayes,NOR,23,RB,16,12,286,1353,8,50,4.7,84.6,4,1986
383,3,Rueben Mayes,NOR,24,RB,12,12,243,917,5,38,3.8,76.4,8,1987
384,23,Rueben Mayes,NOR,25,rb,16,9,170,628,3,21,3.7,39.3,1,1988
385,30,Rueben Mayes,NOR,27,RB,15,8,138,510,7,18,3.7,34.0,1,1990
386,16,Mike Rozier,HOU,25,RB,13,13,199,662,4,19,3.3,50.9,6,1986
387,5,Mike Rozier,HOU,26,RB,11,11,229,957,3,41,4.2,87.0,5,1987
388,8,Mike Rozier,HOU,27,RB,15,14,251,1002,10,28,4.0,66.8,7,1988
389,25,Mike Rozier,2TM,29,,16,5,163,717,3,67,4.4,44.8,6,1990
390,20,Lorenzo Hampton,MIA,24,RB,16,16,186,830,9,54,4.5,51.9,4,1986
391,22,Keith Byars,PHI,23,RB,16,8,177,577,1,32,3.3,36.1,3,1986
392,27,Keith Byars,PHI,25,RB,16,16,152,517,6,52,3.4,32.3,5,1988
393,26,Garry James,DET,23,RB,16,15,159,688,3,60,4.3,43.0,3,1986
394,20,Garry James,DET,25,RB,16,16,182,552,5,35,3.0,34.5,3,1988
395,30,Herschel Walker,DAL,24,rb,16,9,151,737,12,84,4.9,46.1,5,1986
396,7,Herschel Walker,DAL,25,RB,12,11,209,891,7,60,4.3,74.3,4,1987
397,2,Herschel Walker,DAL,26,RB,16,16,361,1514,5,38,4.2,94.6,6,1988
398,11,Herschel Walker,2TM,27,,16,14,250,915,7,47,3.7,57.2,7,1989
399,19,Herschel Walker,MIN,28,RB,16,16,184,770,5,58,4.2,48.1,4,1990
400,12,Herschel Walker,MIN,29,RB,15,15,198,825,10,71,4.2,55.0,2,1991
401,7,Herschel Walker,PHI,30,RB,16,16,267,1070,8,38,4.0,66.9,6,1992
402,26,Herschel Walker,PHI,31,RB,16,16,174,746,1,35,4.3,46.6,3,1993
403,35,Herschel Walker,PHI,32,RB,16,14,113,528,5,91,4.7,33.0,4,1994
404,31,Robb Riddick,BUF,29,RB,15,8,150,632,4,41,4.2,42.1,8,1986
405,32,Napoleon McCallum,RAI,23,rb,15,5,142,536,1,18,3.8,35.7,5,1986
406,36,John Williams,SEA,22,FB,16,16,129,538,0,36,4.2,33.6,1,1986
407,33,John Williams,SEA,23,FB,12,10,113,500,1,48,4.4,41.7,2,1987
408,18,John Williams,SEA,24,FB,16,16,189,877,4,44,4.6,54.8,0,1988
409,18,John Williams,SEA,26,FB,16,16,187,714,3,25,3.8,44.6,5,1990
410,18,John Williams,SEA,27,FB,16,16,188,741,4,42,3.9,46.3,2,1991
411,38,Earl Ferrell,STL,28,FB,16,15,124,548,0,25,4.4,34.3,6,1986
412,32,Earl Ferrell,STL,29,FB,11,11,113,512,7,35,4.5,46.5,0,1987
413,17,Earl Ferrell,PHO,30,FB,16,16,202,924,7,47,4.6,57.8,7,1988
414,29,Earl Ferrell,PHO,31,FB,15,15,149,502,6,44,3.4,33.5,2,1989
415,41,Kenneth Davis,GNB,24,RB,16,6,114,519,0,50,4.6,32.4,2,1986
416,33,Kenneth Davis,BUF,29,,16,1,129,624,4,78,4.8,39.0,0,1991
417,29,Kenneth Davis,BUF,30,,16,0,139,613,6,64,4.4,38.3,5,1992
418,1,Charles White,RAM,29,RB,15,12,324,1374,11,58,4.2,91.6,8,1987
419,16,Christian Okoye,KAN,26,FB,12,12,157,660,3,43,4.2,55.0,5,1987
420,1,Christian Okoye,KAN,28,FB,15,14,370,1480,12,59,4.0,98.7,8,1989
421,7,Christian Okoye,KAN,29,FB,14,13,245,805,7,32,3.3,57.5,6,1990
422,9,Christian Okoye,KAN,30,FB,14,12,225,1031,9,48,4.6,73.6,5,1991
423,20,Troy Stradford,MIA,23,rb,12,5,145,619,6,51,4.3,51.6,6,1987
424,21,Albert Bentley,IND,27,,12,4,142,631,7,17,4.4,52.6,3,1987
425,31,Albert Bentley,IND,30,FB,16,15,137,556,4,26,4.1,34.8,2,1990
426,24,Neal Anderson,CHI,23,FB,11,10,129,586,3,38,4.5,53.3,2,1987
427,9,Neal Anderson,CHI,24,RB,16,16,249,1106,12,80,4.4,69.1,8,1988
428,8,Neal Anderson,CHI,25,RB,16,16,274,1275,11,73,4.7,79.7,5,1989
429,5,Neal Anderson,CHI,26,RB,15,14,260,1078,10,52,4.1,71.9,2,1990
430,11,Neal Anderson,CHI,27,RB,13,12,210,747,6,42,3.6,57.5,5,1991
431,24,Neal Anderson,CHI,28,RB,16,11,156,582,5,49,3.7,36.4,6,1992
432,17,Neal Anderson,CHI,29,RB,15,11,202,646,4,45,3.2,43.1,2,1993
433,28,Dalton Hilliard,NOR,23,,12,1,123,508,7,30,4.1,42.3,4,1987
434,15,Dalton Hilliard,NOR,24,RB,16,8,204,823,5,36,4.0,51.4,3,1988
435,2,Dalton Hilliard,NOR,25,RB,16,16,344,1262,13,40,3.7,78.9,7,1989
436,48,Bo Jackson,RAI,25,FB,7,5,81,554,4,91,6.8,79.1,2,1987
437,32,Bo Jackson,RAI,26,FB,10,9,136,580,3,25,4.3,58.0,5,1988
438,23,Bo Jackson,RAI,27,RB,11,9,173,950,4,92,5.5,86.4,1,1989
439,35,Bo Jackson,RAI,28,,10,0,125,698,5,88,5.6,69.8,3,1990
440,5,John Stephens,NWE,22,RB,16,14,297,1168,4,52,3.9,73.0,3,1988
441,12,John Stephens,NWE,23,RB,14,12,244,833,7,35,3.4,59.5,3,1989
442,13,John Stephens,NWE,24,RB,16,14,212,808,2,26,3.8,50.5,5,1990
443,10,John Settle,ATL,23,FB,16,13,232,1024,7,62,4.4,64.0,3,1988
444,21,John Settle,ATL,24,FB,15,15,179,689,3,20,3.8,45.9,1,1989
445,11,Gary Anderson,SDG,27,RB,14,13,225,1119,3,36,5.0,79.9,5,1988
446,22,Gary Anderson,TAM,29,RB,16,13,166,646,3,22,3.9,40.4,7,1990
447,14,Thurman Thomas,BUF,22,RB,15,15,207,881,2,37,4.3,58.7,9,1988
448,5,Thurman Thomas,BUF,23,RB,16,16,298,1244,6,38,4.2,77.8,7,1989
449,3,Thurman Thomas,BUF,24,RB,16,16,271,1297,11,80,4.8,81.1,6,1990
450,3,Thurman Thomas,BUF,25,RB,15,15,288,1407,7,33,4.9,93.8,5,1991
