,Year,Y/C Factor,TD% Factor,Fum% Factor
0,1978,1.0,1.0,1.0
1,1979,1.0119776321988931,1.1357075108057613,0.970853698090839
2,1980,1.0049080573998388,1.0609446435834236,0.9713644965405306
3,1981,1.0167041005628839,1.076282233469245,1.0731663120585824
4,1982,0.9672159478565729,1.0536042710224316,1.0991746852712876
5,1983,1.0347124668816778,1.0888095621155915,1.0600234825622281
6,1984,1.016705337926024,1.0511237770314603,1.0482666036415236
7,1985,1.0383991548136804,1.1503019669364458,1.063202565904902
8,1986,0.9957803810155311,1.0510328731734726,1.0926561421200216
9,1987,0.998303447854183,0.9691488000780252,1.0747068144742307
10,1988,1.0132835751088776,1.105424882585706,0.9662662274663225
11,1989,0.9998419082711011,1.0512783690597065,1.0413333833859848
12,1990,1.0372559269913246,1.0728679752465535,1.0449719402429791
13,1991,0.9938505025700466,1.0323219364173566,0.9830943150370244
14,1992,1.0190622332884582,0.9592949176307151,1.034778221421923
15,1993,0.9832193312426601,0.8486184683051387,0.9628631326744533
16,1994,0.941607507646468,0.9592467135861839,0.9038637901225287
17,1995,0.9945186540991614,1.0327966709532461,0.9467412482649487
18,1996,0.9734373706965557,0.9480893034566299,0.9103072665243546
19,1997,1.0063966679497156,0.9968090741147442,0.9294735240413877
20,1998,1.0086233181278619,0.9890505841679826,0.8226348344606621
21,1999,0.9863220852954867,0.9486948997787602,0.9432476747014574
22,2000,1.0326966616295945,1.0665997998504837,0.9166102206201202
23,2001,1.0263265796009948,0.9456851661185578,0.9839297268987811
24,2002,1.0666959878669848,1.1549741124606938,0.9391704999246281
25,2003,1.0522252698282275,1.0421145435178403,0.9170693939409703
26,2004,1.0469777087255319,1.020897935854048,0.8773079250165209
27,2005,1.0134217131283274,1.0616088871863627,0.9283675143560295
28,2006,1.0517270852221687,1.039090208360775,0.8606988758645187
29,2007,1.027264111541732,0.9772122657585213,0.9382855452037842
30,2008,1.0639244019253316,1.1937081066441853,0.7876669156732019
31,2009,1.0727842198156576,1.0782093111392956,0.8482463330226179
32,2010,1.0651579837933567,1.014912938629804,0.8090955504951927
33,2011,1.086096110277625,1.0137424375287136,0.7974582569734522
34,2012,1.0782562222075296,1.019633973694825,0.8088050314465409
35,2013,1.0537825126695195,1.0465770661510705,0.734694210671647
36,2014,1.053546887449187,0.98296652651797,0.7578115523306462
37,2015,1.0451978251526859,0.9581652936073703,0.7645510194946172
38,2016,1.0591212376210015,1.177591412998902,0.7817841426331993
39,2017,1.033112461923309,0.9781785398021065,0.7350100249423308
40,2018,1.117141615070072,1.1713555135793698,0.7908248140933585
41,2019,1.092353924650637,1.182277401739935,0.8065695951155091
42,2020,1.1165175516527945,1.3657761123092491,0.6905219870419823
43,2021,1.094318518870354,1.2337529799438343,0.747808419332343
